,review,rating,clean_review,sentiment_text
19,"Best budget headset at this price range @999, so buy it during offers period. sound quality is awesome, bass is extremely good and battery backup is 8 hours and charging time is 1 and half hours. MAIN CONS : 1)Tight ear cuffs ,2) sweating in just 20 minutes and we want to adjust it in regular intervals, and  mike quality is worst , the other person is hearing the more surrounding noise. 3)overall rating is 8.5/10 and  for bass 9/10, sound quality 9/10, built quality 7/10, battery backup 9/...READ MORE",5,best budget headset price range buy offers period sound quality awesome bass extremely good battery backup hours charging time half hours main cons tight ear cuffs sweating minutes want adjust regular intervals mike quality worst person hearing surrounding noise overall rating bass sound quality built quality battery backup read,Positive
20,"Superb Sound😍 Quality, good design very comfortable and good bettary life. Overall Amazing product from #boat 😍👌READ MORE",5,superb sound quality good design comfortable good bettary life overall amazing product boat read,Positive
21,Amazing Audio product from boAt.• Superb bass.• Crystal Clear sound. • Awesome Battery backup.Go for it Without Any Kind of Hesitation.Great deal at such PriceREAD MORE,5,amazing audio product boat superb bass crystal clear sound awesome battery backup go without kind hesitation great deal priceread,Positive
22,awesome product at this prize and what a deal by phone pe app i get this only 700 rs. good sound quality go for itREAD MORE,5,awesome product prize deal phone pe app get rs good sound quality go itread,Positive
23,"today i get this product.. it's really very good product in this price range.. connectivity, sound quality, battery backup and built quality everything is very good..very good Ekart delivery service also.. Thank u flipkart.. guys go for it..👌👌😍😍😁😁🤗🤗👍👍READ MORE",5,today get product really good product price range connectivity sound quality battery backup built quality everything good good ekart delivery service also thank u flipkart guys go read,Positive
24,super great product iam love it thank you FlipkartREAD MORE,5,super great product iam love thank flipkartread,Positive
25,Nice headphones grt sound quality I'm very much impressed connectivity iz fast and battery backup iz fabulous...... But headband iz lill tight u can't wear it for long time otherwise grt product fully satisfied.........READ MORE,5,nice headphones grt sound quality much impressed connectivity iz fast battery backup iz fabulous headband iz lill tight u wear long time otherwise grt product fully satisfied read,Positive
26,1. Sound quality is best......     2. Look was super stylish headphone..... 3.. Packaging is superb..      4. Right tym to delevired... Thanku flipkart.....READ MORE,5,sound quality best look super stylish headphone packaging superb right tym delevired thanku flipkart read,Positive
27,Wooowwww superb product😇 with good effect and sound clarity👏 Bluetooth r working good with system and Mobile phone... Headphones with charger cable and also with connecting wire and 1yr warranty woooww ♥️ thank you 🥰READ MORE,5,wooowwww superb product good effect sound clarity bluetooth r working good system mobile phone headphones charger cable also connecting wire yr warranty woooww thank read,Positive
28,"To me this headphone is better choice in this budget. It's sound quality just awesome. Battery backup is perfect approx 9 to 10 hours. But, build quality is average. In one word it is a better choice.READ MORE",5,headphone better choice budget sound quality awesome battery backup perfect approx hours build quality average one word better choice read,Positive
29,best bluetooth headset under this price range totally worth it  you should buy this amazing product thank you Flipkart for delivering me in very short period of timeREAD MORE,5,best bluetooth headset price range totally worth buy amazing product thank flipkart delivering short period timeread,Positive
30,"This headfone is very beautiful , it's sound quality is osm, it's bass is very powerful ,nice product (( thanks flipcard for delivering me ao quickly, i salute all flipcard staff, love you flipcard ,  👍👍👍READ MORE",5,headfone beautiful sound quality osm bass powerful nice product thanks flipcard delivering ao quickly salute flipcard staff love flipcard read,Positive
31,The best device in this range. Bass quality is best. Simply loved this device. Got delivered in just 2 days.Light weight. White and neon colour is simply wow. Perfectly rests on the ears and comfortable as well.Go for it. Thanks BOAT 🤟READ MORE,5,best device range bass quality best simply loved device got delivered days light weight white neon colour simply wow perfectly rests ears comfortable well go thanks boat read,Positive
32,light weight and easy to carry anywhere and attractive model awesome service from flipkart love itREAD MORE,5,light weight easy carry anywhere attractive model awesome service flipkart love itread,Positive
33,Headphones are very beautiful and classy.. very light weight actually they worth it.bass is awesome also with good sound quality....READ MORE,5,headphones beautiful classy light weight actually worth bass awesome also good sound quality read,Positive
34,"awesome prodect got it for 999,boat company is good is providing good & durable prodect........READ MORE",5,awesome prodect got boat company good providing good durable prodect read,Positive
35,.I really love this product 😍💕💕 its sound quality 👌👌👌👌 awesome I prefer to buy this friends and it's built quality is relay awesome guys love this productREAD MORE,5,really love product sound quality awesome prefer buy friends built quality relay awesome guys love productread,Positive
36,sound is tooo good...and the quality is too good I m happy ...device sound quality is most important for the best quality of music....READ MORE,5,sound tooo good quality good happy device sound quality important best quality music read,Positive
37,"The boat product is good excellent headphone to buy with Bluetooth without wire to use good. wire also added with it  sound ,bass is perfect what waiting order now enjoy nowREAD MORE",4,boat product good excellent headphone buy bluetooth without wire use good wire also added sound bass perfect waiting order enjoy nowread,Positive
38,Delivery is to slow.Sound quality is super and bass is also good. Build quality is not bad and battery is also good.I have one major problem is the mic not good because some times the mic is not clearly to calling person their voice is clear but our voice not clear to there.READ MORE,4,delivery slow sound quality super bass also good build quality bad battery also good one major problem mic good times mic clearly calling person voice clear voice clear read,Positive
39,Simply amazing when I see it and also sound 💯👌 with bass but when I wear it first time it is tight after sometime it is good 😊.I am happy with it.READ MORE,4,simply amazing see also sound bass wear first time tight sometime good happy read,Positive
40,perfect in this price range .go for it . absolutely amazing one .u will feel no delay in pubg sound .the sound is perfectly synchronised with the game .i bought this for playing pubg mainly .so pubg users if u r looking for a good headphone under 2000 then this is it .if my review is helpful then hit likeREAD MORE,5,perfect price range go absolutely amazing one u feel delay pubg sound sound perfectly synchronised game bought playing pubg mainly pubg users u r looking good headphone review helpful hit likeread,Positive
41,This was good. As the sound is so good .I am using it since 2 weeks and i am fully satisfied with it.The noice cancellation is a little issue but it is good .The prices are little bit high according to the quality offered. I will not recommend this product .You can go over any other headphones.I am not totally satisfied.READ MORE,3,good sound good using since weeks fully satisfied noice cancellation little issue good prices little bit high according quality offered recommend product go headphones totally satisfied read,Neutral
42,Design and colour  was  very good . the sound quality was awesome . I love it very much this product.READ MORE,4,design colour good sound quality awesome love much product read,Positive
43,1st of all its very popular and boat is very good in sound production they have heavy and punchy bass which is nice used many boat ear phones and the experience was nice and with this boat rockerz 400 its even better yes it will feel uncomfortable if you have been fond of over the ear headphones rather than that sound is great bass is awesome build is good design is stylish battery backup is also preety good...If you are buying an on the ear headphone for the 1st time and never used an over t...READ MORE,5,st popular boat good sound production heavy punchy bass nice used many boat ear phones experience nice boat rockerz even better yes feel uncomfortable fond ear headphones rather sound great bass awesome build good design stylish battery backup also preety good buying ear headphone st time never used read,Positive
44,Product is good battery backup is also good. I recommend you should buy this product at once in our life at this price range this is the best bluetooth headphoneREAD MORE,5,product good battery backup also good recommend buy product life price range best bluetooth headphoneread,Positive
45,"Firstly, Thanks to Flipkart...I got the headphones 4 days earlier...!!...just imagine...Blazing fast delivery by Flipkart..Ok so I am reviewing after using it for 5 days..1. Design & Comfort -Frankly speaking, these were my first headphones. Design is pretty satisfactory and you can show off in front of your friends ;-). I purchased Black and red one. The ear-cups are adjustable and I had no problem in wearing.Now Comfort, many were saying these are very tight and uncomfortable but honest...READ MORE",5,firstly thanks flipkart got headphones days earlier imagine blazing fast delivery flipkart ok reviewing using days design comfort frankly speaking first headphones design pretty satisfactory show front friends purchased black red one ear cups adjustable problem wearing comfort many saying tight uncomfortable honest read,Positive
46,"I bought in a flipkart sale at Rs999 and I must say it's worth at this price ,bass is pretty cool , sound quality is awesome .Bt I still Give 4 star to it becoz it's little uncomfortable if uh wear it  more than 10min. your ears start getting pain bt after some week you'll get used to it?READ MORE",4,bought flipkart sale rs must say worth price bass pretty cool sound quality awesome bt still give star becoz little uncomfortable uh wear min ears start getting pain bt week get used read,Positive
47,"U cannt bought anything in that cheap price from a well known brand, it's worthy and if I'll talk about sound then it's amazing and battery backup is also good and it's light weight to carry but on the other hand calling quality isn't good enoughREAD MORE",4,u cannt bought anything cheap price well known brand worthy talk sound amazing battery backup also good light weight carry hand calling quality good enoughread,Positive
48,Stylish Beautiful and best BASS quality...It feels like.heaven !! LIstening through this is fun...happy for this purchase..grabbed at just Rs.1099/ maybe the cheapest till now...bit tight bt maybe I'll get used to it!!Best wid Windows 10 as well..loved itTHANX FLIPKART!!READ MORE,5,stylish beautiful best bass quality feels like heaven listening fun happy purchase grabbed rs maybe cheapest till bit tight bt maybe get used best wid windows well loved itthanx flipkart read,Positive
49,"awesome product,  super quality,  clear n high volume sound,  you can change your songs. cushion quality is goodREAD MORE",5,awesome product super quality clear n high volume sound change songs cushion quality goodread,Positive
50,"This product is very good.1. The super extra bass is working properly.2.battery backup is best normally 8-9 hours.3. charging time is correct as description as product details.4.in the box a audio plug, charger cable,warranty card, user manual,etc.5.With high definition balanced sound.6. Next & previous function not working in laptop but it works in mobile.READ MORE",5,product good super extra bass working properly battery backup best normally hours charging time correct description product details box audio plug charger cable warranty card user manual etc high definition balanced sound next previous function working laptop works mobile read,Positive
51,•Very Good Headphone For Playing Games Like PUBG•You Easily Get Each & Every Footsteps With This.•But It Have Some Sound Delay With Bluetooth Mode.•But With Aux Cable It Works PERFECTLY FINE.Sound 🌟🌟🌟🌟🌟Bass    🌟🌟🌟🌟🌟Battery  🌟🌟🌟🌟🌟READ MORE,5,good headphone playing games like pubg easily get every footsteps sound delay bluetooth mode aux cable works perfectly fine sound bass battery read,Positive
52,"This is my honest review after 10 months of use. I bought this for 1499 from flipkart.If you are a bass lover go for it without any confusion.The base is very punchy you can feel your ear vibrate with thisPros:-* Punchy bass. Dont know if any other headsets can provide this much bass* Mids & treble are crystal clear. You can hear every instruments* Battery backup is excellent. I,m getting upto 3 days with above moderate use and if used accordingly we can push upto a week.* Charges quic...READ MORE",5,honest review months use bought flipkart bass lover go without confusion base punchy feel ear vibrate thispros punchy bass dont know headsets provide much bass mids treble crystal clear hear every instruments battery backup excellent getting upto days moderate use used accordingly push upto week charges quic read,Positive
53,I give reviw after 7 month using  this is awesome  working Nd good condition yet ....  Best use for gaming movies song high &  loud quality Betty backup is good  i feel more than 8 hour it's work  but I can give 4 star cause u  feel disappoint while callingREAD MORE,5,give reviw month using awesome working nd good condition yet best use gaming movies song high loud quality betty backup good feel hour work give star cause u feel disappoint callingread,Positive
54,this headphones are very good in this price range go for it sound quality is excellent and it provides a great bass build quality is excellent battery backup is greatgo for itREAD MORE,5,headphones good price range go sound quality excellent provides great bass build quality excellent battery backup greatgo itread,Positive
55,excellent sound quality with superior bass backed with great battery power and feather light  built quality... Mind blowing purchase..  good  for music enthusiasts.. and wise choice to purchase this at this price range... I'm totally loving it!! 😘READ MORE,5,excellent sound quality superior bass backed great battery power feather light built quality mind blowing purchase good music enthusiasts wise choice purchase price range totally loving read,Positive
56,Good headphones gives u a decent bass. very comfortable but if it takes almost 3-4 days to adjust its elasticity although if u want a good headphones with overall decent quality go for it but if need extreme bass  buy the skull candy.READ MORE,4,good headphones gives u decent bass comfortable takes almost days adjust elasticity although u want good headphones overall decent quality go need extreme bass buy skull candy read,Positive
57,Its aa very very amazing product those wo want to buy u recommended in this price this is the one of the best products ny according i buy this and this is my best headphone. This is the best i luv boatREAD MORE,5,aa amazing product wo want buy u recommended price one best products ny according buy best headphone best luv boatread,Positive
58,"value for money, got this headphone for 1k in summer sale,sound quality is awesome with good bass and very good noise cancelation, also it connects to the devices very quickly n those devices shows battery percentage of headphone also this is thr coolest thing of headphone, if u often listen music then this headphone is for u so go for it.....must buy headphone satisfied with my purchaseREAD MORE",5,value money got headphone k summer sale sound quality awesome good bass good noise cancelation also connects devices quickly n devices shows battery percentage headphone also thr coolest thing headphone u often listen music headphone u go must buy headphone satisfied purchaseread,Positive
59,"The sound quality is awesome no more queries about it but, in the built design the ear cups are not comfortable if we wear about 20 to 30 minutes our ear may start getting pain.so please make a big ear cup that may feel comfortable for listening and overall it is good.READ MORE",4,sound quality awesome queries built design ear cups comfortable wear minutes ear may start getting pain please make big ear cup may feel comfortable listening overall good read,Positive
60,It's amazing but one problem is after 1 month it's USB code didn't work properly .But overally it's a nice product .READ MORE,5,amazing one problem month usb code work properly overally nice product read,Positive
61,GReat headphones one of the best.  Great bass And Beats but the main con of  it is that they are a bit uncomfortable so...I won't recommend you to buy them If your head is big Or you are a adult...it's nice for smaall children or teensREAD MORE,4,great headphones one best great bass beats main con bit uncomfortable recommend buy head big adult nice smaall children teensread,Positive
62,Pros=        Vocals are great love it        Bass is decent        Battery is 7-8 hours        Built quality is good looks premium also foldable Cons=        Connectivity problem appears when you use on terrace          and put phone on a pocket maybe due to bluetooth 4.1Conclusion = A Great Purchase of no doubt                          Best buy even you purchase under 1400                         I suggest buy on offer or sale I purchase it for                                   ...READ MORE,4,pros vocals great love bass decent battery hours built quality good looks premium also foldable cons connectivity problem appears use terrace put phone pocket maybe due bluetooth conclusion great purchase doubt best buy even purchase suggest buy offer sale purchase read,Positive
63,Don't buy  colour with cotton cushion  it don't look that good I prefer the one with leather air cushion.  Sound quality : 9/10 in this price range It is goodBass : 7/10 I didn't get that much Design : 9/10 recommend to  buy one with leather cushion Battery : 10/10 Notice cancellation is also gud  I recommend to buy this product at sale u can get it at cheap price..Plz guyz don't buy this headphone to play pubg bass of this heaphone disturb while gaming u can't get crystal clear  qual...READ MORE,4,buy colour cotton cushion look good prefer one leather air cushion sound quality price range goodbass get much design recommend buy one leather cushion battery notice cancellation also gud recommend buy product sale u get cheap price plz guyz buy headphone play pubg bass heaphone disturb gaming u get crystal clear qual read,Positive
64,"recieved in good packaging,really very thankful to Flipkart for such a wonderful experience with u.one minor issue found in bass heads and it was the cushions material....the material used in blue color headset were made of cloth which are not durable comparing from the others color variants of the same model.....READ MORE",4,recieved good packaging really thankful flipkart wonderful experience u one minor issue found bass heads cushions material material used blue color headset made cloth durable comparing others color variants model read,Positive
65,"A very good product by boat. I like the design of headphones and sound quality is very very good, battery backup is also very good. I am using it for playing pubg and listening music. I just loved the product.READ MORE",5,good product boat like design headphones sound quality good battery backup also good using playing pubg listening music loved product read,Positive
66,"An excellent buy for this price. Great sound. Decent bass. If your phone or laptop has an equaliser , you can change your settings and listen to great theatre like sound . They are also light weight and so not cause too much pressure when you wear them for long .READ MORE",5,excellent buy price great sound decent bass phone laptop equaliser change settings listen great theatre like sound also light weight cause much pressure wear long read,Positive
67,bass is very good brought the product for rs999 and is best for the value for money delivery by flipkart is super fast delivered one day before the given dateREAD MORE,5,bass good brought product rs best value money delivery flipkart super fast delivered one day given dateread,Positive
68,good product in cheap price even very better than JBL first I also buyied JBL but it is not so good but this is very better than itREAD MORE,5,good product cheap price even better jbl first also buyied jbl good better itread,Positive
69,"Bought it for 999 it's definitely worth for the amount we are paid to get those,Pros1. High Bass with HD Sound Quality (Use Poweramp Music Player to get best of this headphone).2. Battery Backup - Those who use 3-4 hours daily will have a battery backup of 3-5 days (Tested with my limits).ConsBut it will not be able to make you feel comfort and you will regret after buying one of these for the reasons which can easily sort out by the manufacturer.1. The Ear Cushions which are not ...READ MORE",4,bought definitely worth amount paid get pros high bass hd sound quality use poweramp music player get best headphone battery backup use hours daily battery backup days tested limits consbut able make feel comfort regret buying one reasons easily sort manufacturer ear cushions read,Positive
70,Good sound quality calls ok battery good bass good overall very goodREAD MORE,5,good sound quality calls ok battery good bass good overall goodread,Positive
71,"TOTALLY IMPRESSED BY ITS SOUND QUALITY, SATISFIED ,BRILLANT,NICE,WORTH IT!!!!! ..........Value for money. 🤑🤑1.Sound quality is very clear and crystal🤗🙌2.BASS quality is superb....... especially for the Dj remix songs 👂3.the colour(white,gery) is much good looking 4 But the mic is little bit bad. We or the other speaking person not able to hear our voice properly.....in calling time 5.Also the fitting is  quite good but not as much because it is little bit tight over the ears...........READ MORE",5,totally impressed sound quality satisfied brillant nice worth value money sound quality clear crystal bass quality superb especially dj remix songs colour white gery much good looking mic little bit bad speaking person able hear voice properly calling time also fitting quite good much little bit tight ears read,Positive
72,Nice Sound Quality will give 4 out of 5Super Bass will give 4 out of 5Design and Quality - will give 4 out of 5Excellent and Super Battery. - will give 4.5 out of 5Around 8 hour Song hearing battery backup.Perfect Fits.Ultralight Weight.Noise Cancellation Up to the mark or Below Average Quality.Voice calling quality is Below Average Quality will give 2.5 out of 5.Mic working good.Aux cable and Data Cable included working Fine.Cushions can be better and very soft.Overall these prod...READ MORE,4,nice sound quality give super bass give design quality give excellent super battery give around hour song hearing battery backup perfect fits ultralight weight noise cancellation mark average quality voice calling quality average quality give mic working good aux cable data cable included working fine cushions better soft overall prod read,Positive
73,"Bang for the buck.Really great headset. Best headphone at this price.The build quality is very good and it is sturdy and light weight .The sound quality of this headphone is seriously very good and the bass is really amazing. Don't think about others, just go for it. ❤️❤️❤️❤️READ MORE",5,bang buck really great headset best headphone price build quality good sturdy light weight sound quality headphone seriously good bass really amazing think others go read,Positive
74,Packing was good....received in good condition...working very well.Sound quality is actually crystal clear and bass is appreciable !!Overall a nice product and value for money .READ MORE,4,packing good received good condition working well sound quality actually crystal clear bass appreciable overall nice product value money read,Positive
75,"A decent headphone..i buy it for 1000Rs. Very satisfied with the productpros:1.good design2.good quality look3.Very good BASS4.Light weight5.good battery backupCons:1.its little bit tight..dont know if it get wasy afta using so much..ears getting pain..this problem is seen in many reviews(youtube) also.2.Good for ppl who loves BASS,cz normal sound is little bit straight3.Buttons not feel so durable.READ MORE",5,decent headphone buy rs satisfied productpros good design good quality look good bass light weight good battery backupcons little bit tight dont know get wasy afta using much ears getting pain problem seen many reviews youtube also good ppl loves bass cz normal sound little bit straight buttons feel durable read,Positive
76,"Not good at all only because of one reason the headphones don't cover your whole ear and placed over the year which is not comfortable. You can't wear this for a longer time because it starts hurting you. So, try for another one in this price range. There are many available at this cost and better than this.READ MORE",1,good one reason headphones cover whole ear placed year comfortable wear longer time starts hurting try another one price range many available cost better read,Negative
77,not good packaging but still satisfied with the product worth for money i liked it so much🤙you guys should go for itREAD MORE,4,good packaging still satisfied product worth money liked much guys go itread,Positive
78,"Great budget headphones!! If you are looking for a headphone in this budget don't  think twice. If you're a bass head it is amazing. Battery  is decent  6 hrs on an average, but the fit is not very good. It sometimes feels loose and needs to be adjusted. Overall a good option. Design improvements can get 5 stars.READ MORE",4,great budget headphones looking headphone budget think twice bass head amazing battery decent hrs average fit good sometimes feels loose needs adjusted overall good option design improvements get stars read,Positive
79,One of the best wireless headphones under 1k. Bass is so good and the speciality of boat is it is loud the mids are well contained. Overall satisfied with this headphones.READ MORE,4,one best wireless headphones k bass good speciality boat loud mids well contained overall satisfied headphones read,Positive
80,"I was really excited about the headphones at first , sound quality is above expectations, bass is also good but the main issue comes in the comfort level.These headphones are not all comfortable you'll start feeling the pain in your ears withing 10-15 mins of use .The worst part is return option is not available in this product you can only exchange it , really disappointed as what's the use of good music if you are not comfortable with the product...😑READ MORE",1,really excited headphones first sound quality expectations bass also good main issue comes comfort level headphones comfortable start feeling pain ears withing mins use worst part return option available product exchange really disappointed use good music comfortable product read,Negative
81,Awesome !!! 🤩🔥🔥The bass is top notch sounf quality is great even at loud speedthe battery backup is also very good 🤘🏻🔥READ MORE,5,awesome bass top notch sounf quality great even loud speedthe battery backup also good read,Positive
82,"Got this headphone at just rs. 899 in offer i can say it's just an amazing well worth. Design and build quality is not up to the mark, it's quite uncomfortable too if you wear it for too long or may be I'm feeling it because it's new after using it for a month i may be use to it, that's  alright i was not expecting much either and it can be neglected after seeing it's price but the best part is sound and the bass which lits this headphone. It's amazing to listen songs and if you're a lover of...READ MORE",5,got headphone rs offer say amazing well worth design build quality mark quite uncomfortable wear long may feeling new using month may use alright expecting much either neglected seeing price best part sound bass lits headphone amazing listen songs lover read,Positive
83,"in Bluetooth connection sound ,bass, all is good but using aux cable cable bass & sound is low and volume button not works on aux cable.and not good for calls and days later ear got paining.READ MORE",2,bluetooth connection sound bass good using aux cable cable bass sound low volume button works aux cable good calls days later ear got paining read,Negative
84,"Battery Backup Is ""Ashvatthama"" Which Just Denies To Die , Straightaway 8 Hours Of Travel Couldn't End The Charge , And It Works Pretty Well !Controls Are Great , Easy And Responsive !!😊👍👍A True Wireless Freedom !!!100% Satisfied !👍READ MORE",5,battery backup ashvatthama denies die straightaway hours travel end charge works pretty well controls great easy responsive true wireless freedom satisfied read,Positive
85,"Hey fellows .. the headphones are awesome superb base,superb built quality with metal holders      too good . I got it for Rs.999 .. u may get it fr d same rate on salesREAD MORE",5,hey fellows headphones awesome superb base superb built quality metal holders good got rs u may get fr rate salesread,Positive
86,Decent buy for music & for gaming Wired Gives Best Experience But at last An Excellent For Daily Use 😊. I have used it for 1 yr & Writing Review After 1 yr I have broken It's plastic Once But I have Fixed it by Tape But an decent But. Not Recommend for A too Rough UseREAD MORE,4,decent buy music gaming wired gives best experience last excellent daily use used yr writing review yr broken plastic fixed tape decent recommend rough useread,Positive
87,Good choice best bass and sound quality very good I like this productREAD MORE,5,good choice best bass sound quality good like productread,Positive
